AC,O2Hb,HHB,HTb,HB_diff,TSI,PI
0.2185698,11.00613546,15.46383458,26.46987,-4.45769911,94.53669815,0.94
0.2758236,10.95667685,15.58483639,26.54141369,-4.62815939,94.53382569,0.92
0.3310117,10.88679036,15.71045102,26.59714087,-4.82366094,94.55012589,0.92
0.4052143,10.8169035,15.83606577,26.65286942,-5.01916261,94.58017045,0.91
0.3763504,10.74335175,15.95276946,26.69602051,-5.20941786,94.61243135,0.91
0.4258175,10.68251095,16.07776088,26.76017283,-5.3952506,94.66406021,0.91
0.4329147,10.61912813,16.20109614,26.82012367,-5.58196793,94.69804382,0.9
0.3142776,10.54798098,16.31610641,26.86398811,-5.76812602,94.7542694,0.95
0.3383236,10.4851014,16.43161775,26.91661872,-5.94651651,94.79045943,0.97
0.4280968,10.41741277,16.55051402,26.96782684,-6.13310147,94.81968462,0.95
0.4704675,10.34514275,16.65827143,27.00331402,-6.3131288,94.8441925,0.55
0.4182463,10.29412678,16.78151893,27.07554512,-6.48739157,94.84866257,0.46
0.3490762,10.25117207,16.90023938,27.15131148,-6.64906755,94.86612473,0.35
0.307394,10.18263587,17.01858348,27.20111922,-6.83594747,94.87817232,0.35
0.3490763,10.15811779,17.14443589,27.30245324,-6.98631785,94.86621476,0.29
0.4219017,10.14445677,17.29367122,27.43802815,-7.14921402,94.84647064,0.26
0.5856638,10.0799985,17.43097706,27.5108757,-7.35097861,94.77724686,0.25
0.5694036,10.02398841,17.53303376,27.5569229,-7.50904517,94.74620515,0.25
0.5531435,9.97063714,17.65964929,27.63018533,-7.68901162,94.76858291,0.31
0.4663372,9.90613154,17.77572917,27.68176156,-7.86959816,94.80461197,0.35
0.4564867,9.8570384,17.88555735,27.74249515,-8.02851882,94.8360939,0.37
0.5002336,9.7663104,18.00573368,27.77194442,-8.23942338,94.9295479,0.37
0.474123,9.67271748,18.09632626,27.76894435,-8.42360868,94.96699677,0.34
0.5531435,9.58828718,18.20919704,27.79738351,-8.62090988,94.99051743,0.35
0.469779,9.50951329,18.31923427,27.82864799,-8.80972148,95.02976074,0.35
0.2961664,9.44157029,18.4118801,27.85334986,-8.97030945,95.07519913,0.32
0.3348818,9.3714296,18.51124325,27.88257292,-9.13981389,95.0954422,0.3
0.3694658,9.2981271,18.59387282,27.89189988,-9.29574529,95.1639824,0.29
0.2572374,9.23524762,18.70938283,27.94453067,-9.47413578,95.12060699,0.28
0.2911348,9.20866883,18.84530391,28.05387327,-9.63663542,95.0707123,0.29
0.2345685,9.17201146,18.95671957,28.12863082,-9.78470793,95.10200958,0.29
0.2423544,9.15775282,19.07132777,28.22898101,-9.91357498,95.13311997,0.29
0.214179,9.16607714,19.2137043,28.37968177,-10.04762746,95.06708069,0.32
0.212802,9.13645314,19.35579148,28.49214438,-10.21933851,95.00799485,0.31
0.2192116,9.05218161,19.45246239,28.50454406,-10.40028086,95.10832138,0.31
0.212802,8.97961503,19.57306919,28.55258445,-10.59345418,95.13739855,0.3
