i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
14961,15268,14312,13562,4412,4979,5180,4621,4302,0.0184,0.986,
14355,14761,13751,13066,4446,4993,5150,4563,4315,0.0184,1,
14194,14444,13362,12773,4510,5120,5221,4630,4318,0.0184,0.7843,
13263,13579,12756,12051,4356,4965,5161,4582,4232,0.0184,0.7278,
12769,13102,12295,11548,4371,5009,5174,4525,4180,0.0184,0.5619,
12326,12628,11906,11137,4292,5028,5192,4538,4191,0.0184,0.922,
11885,12058,11518,10744,4358,5010,5182,4568,4183,0.0184,0.626,
11474,11659,11076,10422,4337,5065,5227,4540,4111,0.0184,0.658,
11055,11328,10640,10059,4290,5034,5231,4529,4096,0.0184,0.8514,
10638,10984,10375,9754,4351,5082,5267,4499,4085,0.0184,0.6453,
10316,10622,10027,9403,4301,5072,5261,4505,4069,0.0184,0.7714,
9941,10194,9609,9131,4299,5101,5307,4527,4008,0.0184,0.3618,
9649,9987,9393,8863,4249,5157,5406,4525,3984,0.0184,0.76,
9292,9636,9038,8577,4227,5198,5406,4519,4027,0.0184,0.6258,
9060,9344,8846,8291,4252,5223,5411,4493,3977,0.0184,0.8367,
8803,9025,8562,8133,4278,5238,5535,4509,3978,0.0184,0.6027,
8481,8775,8340,7943,4298,5293,5543,4601,3944,0.0184,0.3155,
8282,8518,8090,7748,4353,5411,5550,4567,3889,0.0184,0.5452,
7998,8299,7851,7463,4315,5375,5603,4590,3922,0.0184,0.351,
7843,8093,7677,7253,4291,5441,5667,4598,3885,0.0184,0.3483,
7595,7880,7514,7146,4309,5513,5707,4614,3907,0.0184,0.3281,
7433,7622,7331,6944,4350,5566,5842,4622,3891,0.0184,0.1175,
7227,7425,7166,6751,4364,5637,5923,4631,3896,0.0184,0.3579,
7049,7317,6941,6630,4363,5737,5953,4658,3867,0.0184,0.0664,
6888,7108,6830,6478,4372,5752,6006,4672,3831,0.0184,0.0218,
6730,6980,6682,6261,4398,5854,6090,4752,3854,0.0184,0.0768,
6593,6864,6523,6264,4409,5997,6222,4794,3852,0.0184,0.0154,
6442,6575,6393,6063,4410,6019,6314,4825,3821,0.0184,0.0154,
6299,6524,6272,5940,4452,6164,6427,4832,3833,0.0184,0.0154,
6171,6355,6091,5788,4497,6188,6541,4871,3836,0.0184,0.0154,
6058,6248,6059,5721,4517,6302,6597,4956,3810,0.0184,0.0154,
5853,6164,5884,5636,4536,6420,6760,4956,3786,0.0184,0.0154,
5832,6085,5783,5503,4566,6595,6921,4998,3780,0.0184,0.0154,
5704,5919,5743,5459,4614,6696,7052,5032,3769,0.0184,0.0154,
5604,5808,5625,5308,4633,6800,7138,5118,3763,0,0.0154,
5512,5684,5483,5319,4697,6966,7309,5147,3745,0.0648,0.0154,
5459,5627,5405,5203,4666,7047,7440,5231,3726,0.0058,0.0154,
5358,5535,5339,5089,4740,7198,7578,5279,3734,0.0842,0.0154,
5237,5393,5311,5037,4779,7371,7791,5317,3687,0.1027,0.0154,
5169,5341,5195,4966,4840,7537,7942,5420,3710,0.0725,0.0154,
5130,5235,5142,4899,4873,7699,8134,5407,3696,0.0327,0.0154,
5038,5235,5044,4876,4989,7901,8360,5548,3658,0.2001,0.0154,
4948,5110,4985,4741,5036,8147,8533,5688,3672,0.0207,0.0154,
4938,5022,4956,4707,5091,8314,8752,5691,3711,0.162,0.0154,
4800,5002,4853,4660,5075,8484,8984,5798,3644,0.0703,0.0154,
4740,4908,4807,4593,5221,8715,9203,5881,3655,0.1308,0.0154,
4679,4829,4738,4512,5292,8957,9429,6025,3641,0.3373,0.0154,
4640,4776,4677,4547,5282,9257,9699,6151,3611,0.0976,0.0154,
4606,4729,4635,4402,5456,9527,9994,6219,3610,0.0816,0.0154,
4510,4698,4559,4364,5528,9798,10253,6305,3586,0.1355,0.0154,
4448,4629,4528,4301,5559,10106,10583,6433,3583,0.189,0.0154,
4445,4615,4475,4308,5690,10412,10952,6578,3554,0.0805,0.0154,
4380,4515,4425,4263,5771,10773,11205,6762,3534,0.2154,0.0154,
4312,4462,4400,4239,5923,11168,11605,6908,3585,0.4695,0.0154,
4272,4400,4354,4149,6018,11435,11958,7039,3544,0.1624,0.0154,
4245,4380,4274,4123,6128,11809,12408,7222,3547,0.581,0.0154,
4218,4315,4191,4098,6382,12236,12812,7413,3553,0.456,0.0154,
4126,4240,4167,4021,6349,12612,13208,7531,3470,0.2896,0.0154,
4099,4198,4078,4044,6662,13112,13685,7710,3459,0.7388,0.0154,
4014,4181,4129,3984,6738,13582,14152,7964,3477,0.6995,0.0154,
3946,4128,4061,3926,6866,14187,14688,8277,3465,0.4131,0.0154,
3965,4112,4045,3901,7136,14781,15381,8501,3494,0.277,0.0154,
3948,4022,4046,3925,7320,15389,15931,8738,3425,0.7762,0.0154,
3865,4018,3985,3807,7477,15859,16419,8938,3405,0.7397,0.0154,
3853,3979,3922,3806,7620,16519,17095,9233,3375,1,0.0154,
3849,3934,3875,3775,7914,17157,17859,9569,3382,0.7599,0.0154,
