AC,TSI,O2HB,HHB,THb,HB_diff,PI,,,
0.07934095,94.87817232,10.18263587,17.01858348,27.20111922,-6.83594747,0.35,,,
0.0027532,94.86621476,10.15811779,17.14443589,27.30245324,-6.98631785,0.29,,,
0.0294227,94.84647064,10.14445677,17.29367122,27.43802815,-7.14921402,0.26,,,
0.0141945,94.77724686,10.0799985,17.43097706,27.5108757,-7.35097861,0.25,,,
0.02266885,94.74620515,10.02398841,17.53303376,27.5569229,-7.50904517,0.25,,,
0.0714492,94.76858291,9.97063714,17.65964929,27.63018533,-7.68901162,0.31,,,
0.0902247,94.80461197,9.90613154,17.77572917,27.68176156,-7.86959816,0.35,,,
0.2109041,94.8360939,9.8570384,17.88555735,27.74249515,-8.02851882,0.37,,,
0.07751375,94.9295479,9.7663104,18.00573368,27.77194442,-8.23942338,0.37,,,
0.0460263,94.96699677,9.67271748,18.09632626,27.76894435,-8.42360868,0.34,,,
0.10934445,94.99051743,9.58828718,18.20919704,27.79738351,-8.62090988,0.35,,,
0.014883,95.02976074,9.50951329,18.31923427,27.82864799,-8.80972148,0.35,,,
0.0209475,95.07519913,9.44157029,18.4118801,27.85334986,-8.97030945,0.32,,,
0.0027533,95.0954422,9.3714296,18.51124325,27.88257292,-9.13981389,0.3,,,
0.01888325,95.1639824,9.2981271,18.59387282,27.89189988,-9.29574529,0.29,,,
0.0313568,95.12060699,9.23524762,18.70938283,27.94453067,-9.47413578,0.28,,,
0.02028325,95.0707123,9.20866883,18.84530391,28.05387327,-9.63663542,0.29,,,
0.0400915,95.10200958,9.17201146,18.95671957,28.12863082,-9.78470793,0.29,,,
0.01180885,95.13311997,9.15775282,19.07132777,28.22898101,-9.91357498,0.29,,,
0.034111,95.06708069,9.16607714,19.2137043,28.37968177,-10.04762746,0.32,,,
0.06938315,95.00799485,9.13645314,19.35579148,28.49214438,-10.21933851,0.31,,,
0.0325203,95.10832138,9.05218161,19.45246239,28.50454406,-10.40028086,0.31,,,
0.04568195,95.13739855,8.97961503,19.57306919,28.55258445,-10.59345418,0.3,,,
0.0652532,95.1279068,8.94236412,19.71018334,28.65244712,-10.76781845,0.3,,,
0.13601355,95.20018615,8.86232978,19.80961629,28.67184716,-10.94728631,0.3,,,
0.1309814,95.24554977,8.8010764,19.92455789,28.72553329,-11.12348117,0.3,,,
0.09880545,95.26051102,8.7479311,20.05619754,28.80402927,-11.30826655,0.3,,,
0.0680074,95.31929551,8.6679183,20.1360815,28.80389919,-11.46816303,0.26,,,
0.0357242,95.35493011,8.58623638,20.25563509,28.84177208,-11.66939877,0.23,,,
0.1635017,95.34256819,8.50675288,20.36847132,28.87512435,-11.861718,0.14,,,
0.1868582,95.35948507,8.429280957,20.43277634,28.86195646,-12.0034955,0.07,,,
