690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
0.32973,0.33244,0.33333,0.33633,0.022255,0.020089,0.021138,0.019045,1,-0.051152,-0.046187,-0.039386,-0.037882,0.5923,
0.31316,0.31772,0.31674,0.32103,0.022338,0.020596,0.021187,0.018998,1,-0.053311,-0.04273,-0.041618,-0.038453,0.64874,
0.30207,0.30633,0.30294,0.31008,0.023531,0.022492,0.022714,0.021206,1,-0.0511,-0.043776,-0.041497,-0.033764,0.6275,
0.28825,0.29431,0.28998,0.29676,0.026223,0.024486,0.024964,0.024493,1,-0.052488,-0.04271,-0.040057,-0.033399,0.65122,
0.27342,0.27846,0.27671,0.28254,0.028276,0.025303,0.025736,0.02454,1,-0.053075,-0.044306,-0.04382,-0.037221,0.71694,
0.26134,0.26605,0.26433,0.26992,0.028915,0.026562,0.026689,0.025339,1,-0.053808,-0.046044,-0.042871,-0.037594,0.72952,
0.24815,0.25304,0.25343,0.25866,0.029109,0.027395,0.028101,0.026325,1,-0.056953,-0.048429,-0.044749,-0.039178,0.78693,
0.23778,0.2422,0.24121,0.24468,0.031828,0.028818,0.029317,0.027828,1,-0.053399,-0.045549,-0.045709,-0.042321,0.78339,
0.22847,0.23324,0.23184,0.23642,0.034381,0.031662,0.031994,0.030012,1,-0.051804,-0.045549,-0.043443,-0.039653,0.7626,
0.21755,0.22147,0.21986,0.22494,0.035103,0.031842,0.032815,0.03121,1,-0.050912,-0.044385,-0.043485,-0.038946,0.80106,
0.20814,0.21192,0.21106,0.2157,0.036268,0.034784,0.034934,0.032454,1,-0.052262,-0.045337,-0.043896,-0.039447,0.80919,
0.1989,0.20189,0.2013,0.20633,0.036823,0.035732,0.036527,0.033746,1,-0.05499,-0.047427,-0.041928,-0.039126,0.82506,
0.1943,0.19606,0.19456,0.20071,0.042429,0.038494,0.038892,0.037574,1,-0.055019,-0.048329,-0.043486,-0.037215,0.86749,
0.179,0.18332,0.18304,0.18637,0.040902,0.037988,0.039861,0.036916,1,-0.055014,-0.045535,-0.045026,-0.042076,0.81629,
0.17219,0.17565,0.17502,0.17785,0.042873,0.040407,0.040994,0.038654,1,-0.055276,-0.045664,-0.045571,-0.043907,0.7923,
0.16412,0.16668,0.1683,0.17024,0.046119,0.042368,0.04308,0.040838,1,-0.049086,-0.044634,-0.042995,-0.04096,0.82268,
0.15594,0.15891,0.16072,0.1636,0.046536,0.0433,0.044591,0.04227,1,-0.053984,-0.046863,-0.04449,-0.042451,0.87008,
0.15021,0.15146,0.15343,0.15469,0.048672,0.04634,0.047235,0.044266,1,-0.053032,-0.045706,-0.043655,-0.041823,0.83932,
0.14266,0.14563,0.14654,0.1489,0.051059,0.047272,0.048779,0.045417,1,-0.05193,-0.044524,-0.042323,-0.041285,0.8882,
0.13574,0.13905,0.13906,0.14168,0.052363,0.049904,0.05144,0.047108,1,-0.053809,-0.045376,-0.044753,-0.04229,0.92538,
0.1313,0.13284,0.13411,0.13512,0.054805,0.051489,0.052836,0.049691,1,-0.048932,-0.04349,-0.042324,-0.041633,0.87284,
0.12426,0.12705,0.1279,0.12978,0.058384,0.05399,0.055825,0.052486,1,-0.045557,-0.041159,-0.039999,-0.037498,0.93759,
