intensity,uaa,left,right
1264,0.1924,,
1294,0.1996,,
1303,0.1923,,
1334,0.129,,
1367,0.1274,,
1401,0.1677,,
1428,0.1416,,
1461,0.1337,,
1452,0.1379,,
1517,0.1434,,
1536,0.2144,,
1596,0.2523,,
1595,0.1457,,
1660,0.2173,,
1685,0.1515,,
1728,0.239,,
1783,0.0841,,
1805,0.1876,,
1833,0.1763,,
1920,0.1782,,
1950,0.1194,,
1988,0.1828,,
2066,0.1074,,
2138,0.1341,,
2150,0.1657,,
2179,0.0924,,
2266,0.0822,,
2326,0.1479,,
2389,0.1545,,
2449,0.068,,
2528,0.1374,,
2558,0.1389,,
2656,0.1177,,
2705,0.1387,,
2848,0.117,,
2820,0.1179,,
3002,0.1253,,
3031,0.1249,,
3148,0.1581,,
3262,0.1095,,
3349,0.0958,,
3448,0.1536,,
3541,0.086,,
3604,0.0691,,
3786,0.1326,,
3871,0.1009,,
3916,0.0998,,
4084,0.0982,,
4241,0.1328,,
4407,0.1055,,
4554,0.0922,,
4684,0.0863,,
4873,0.0821,,
5007,0.0925,,
5162,0.1296,,
5312,0.1156,,
5522,0.112,,
5761,0.1013,,
5916,0.0777,,
6115,0.0947,,
6292,0.0878,,
6568,0.1089,,
6744,0.098,,
7023,0.118,,
7255,0.1145,,
7477,0.1149,,
7841,0.0972,,
8156,0.0973,,
8367,0.1028,,
8685,0.0808,,
9019,0.1069,,
9317,0.0954,,
9693,0.0705,,
10095,0.0892,,
10479,0.0889,,
10917,0.066,,
11404,0.0808,,
11786,0.0839,,
12287,0.0886,,
12812,0.0897,,
13270,0.083,,
13837,0.0955,,
14372,0.093,,
14961,0.1148,,
15612,0.1199,,
16217,0.1159,,
16897,0.1237,,
17647,0.1362,,
18390,0.0592,,
19096,0.089,,
19977,0.0817,,
20808,0.0914,,
21698,0.1264,,
22548,0.1264,,
23540,0.1264,,
24486,0.1264,,
25599,0.1264,,
