690,750,800,850,ua,690i,750i,800i,850i,uaa,690n,750n,800n,850n,690ni,750ni,800ni,850ni
42163,43247,42503,43312,0.0142,1736,2196,2286,1811,0.0333,,,,,,,,
40600,41596,40858,41695,0.012,1753,2205,2320,1831,0.1485,,,,,,,,
38929,39801,39207,39913,0.0259,1786,2224,2378,1817,0.1463,,,,,,,,
37254,38150,37680,38305,0.0442,1771,2325,2377,1878,0.1889,,,,,,,,
35812,36631,36127,36755,0.0521,1847,2337,2465,1912,0.0283,,,,,,,,
34367,35217,34738,35516,0.0627,1864,2407,2472,1929,0.9924,,,,,,,,
32903,33733,33252,33931,0.083,1887,2445,2548,1968,0.9067,,,,,,,,
31743,32460,32019,32512,0.0806,1902,2476,2610,2012,0.9629,,,,,,,,
30418,31156,30729,31368,0.1042,1946,2552,2661,2037,0.9912,,,,,,,,
29145,29902,29413,30120,0.1182,1985,2614,2661,2046,0.5944,,,,,,,,
27976,28695,28280,28920,0.1422,2015,2647,2732,2142,0.864,,,,,,,,
27010,27658,27290,27793,0.1426,2023,2683,2811,2152,1,,,,,,,,
25830,26381,26015,26522,0.1745,2115,2713,2873,2182,0.7536,,,,,,,,
24772,25415,24996,25531,0.1954,2134,2828,2912,2222,0.754,,,,,,,,
23842,24271,23980,24560,0.2102,2150,2899,2942,2283,0.917,,,,,,,,
22814,23234,23035,23575,0.2339,2226,2936,3070,2305,0.518,,,,,,,,
21874,22413,22092,22756,0.2597,2243,3010,3088,2358,0.6045,,,,,,,,
21087,21371,21244,21584,0.2662,2291,3061,3208,2381,0.4928,,,,,,,,
20171,20550,20326,20733,0.3064,2341,3139,3258,2426,0.6054,,,,,,,,
19518,19870,19514,20081,0.3036,2375,3246,3342,2511,0.5726,,,,,,,,
18675,19121,18720,19259,0.3307,2432,3328,3439,2611,0.5595,,,,,,,,
17818,18192,17953,18429,0.374,2511,3383,3491,2618,0.4365,,,,,,,,
17131,17475,17248,17703,0.3964,2549,3475,3564,2667,0.4899,,,,,,,,
16369,16712,16618,17046,0.4362,2560,3530,3654,2713,0.5996,,,,,,,,
15781,16088,15922,16240,0.4517,2673,3632,3743,2792,0.4156,,,,,,,,
15183,15503,15320,15698,0.46,2708,3749,3849,2828,0.268,,,,,,,,
14571,14831,14645,15046,0.4917,2756,3782,3921,2901,0.3237,,,,,,,,
14042,14286,14151,14521,0.511,2816,3980,4068,2972,0.3356,,,,,,,,
13496,13686,13574,13962,0.5332,2827,4029,4156,3018,0.4148,,,,,,,,
13220,13333,13173,13623,0.5003,3020,4189,4291,3172,0,,,,,,,,
12367,12618,12539,12817,0.6131,3001,4194,4386,3180,0.2795,,,,,,,,
11961,12156,12062,12307,0.6179,3062,4332,4445,3244,0.7828,,,,,,,,
11466,11601,11645,11834,0.6452,3153,4426,4546,3311,0.6075,,,,,,,,
11011,11163,11224,11464,0.6796,3188,4503,4658,3392,0.7257,,,,,,,,
10680,10726,10802,10943,0.6806,3267,4691,4821,3479,0.676,,,,,,,,
10241,10382,10401,10603,0.7153,3353,4748,4915,3528,0.6098,,,,,,,,
9824,9979,9951,10164,0.7448,3385,4894,5062,3585,0.6522,,,,,,,,
9584,9631,9681,9797,0.7357,3491,5009,5165,3713,0.5937,,,,,,,,
9144,9259,9289,9452,0.7767,3589,5131,5316,3801,0.4438,,,,,,,,
8885,8954,8955,9146,0.7847,3657,5283,5456,3908,0.5213,,,,,,,,
8529,8620,8643,8843,0.8131,3739,5441,5595,3978,0.459,,,,,,,,
8199,8327,8404,8557,0.8422,3860,5624,5798,4092,0.3469,,,,,,,,
7993,8015,8056,8176,0.8455,3956,5698,5876,4173,0.3849,,,,,,,,
7750,7713,7834,7952,0.8521,4011,5905,6073,4284,0.4361,,,,,,,,
7466,7527,7575,7667,0.8671,4112,6041,6190,4421,0.2178,,,,,,,,
7248,7215,7295,7470,0.8773,4218,6187,6389,4540,0.2056,,,,,,,,
7022,6990,7102,7220,0.8759,4301,6409,6523,4633,0.6432,,,,,,,,
6832,6761,6882,6959,0.8818,4413,6599,6677,4739,0.6359,,,,,,,,
6590,6566,6624,6750,0.9121,4518,6676,6897,4866,0.6457,,,,,,,,
6386,6327,6460,6535,0.9269,4616,6926,7083,4979,0.6596,,,,,,,,
6182,6210,6303,6343,0.9436,4706,7093,7312,5135,0.6878,,,,,,,,
6020,5993,6091,6124,0.9383,4848,7253,7523,5251,0.5942,,,,,,,,
5865,5830,5902,5965,0.9398,4992,7449,7732,5349,0.5387,,,,,,,,
5675,5676,5750,5864,0.9479,5119,7742,7895,5566,0.4745,,,,,,,,
5557,5498,5543,5658,0.9304,5235,7933,8131,5665,0.4646,,,,,,,,
5410,5353,5415,5458,0.9438,5327,8102,8363,5789,0.5561,,,,,,,,
5282,5179,5286,5297,0.9367,5498,8348,8597,5987,0.4673,,,,,,,,
5094,5061,5133,5153,0.9719,5659,8660,8842,6093,0.434,,,,,,,,
4998,4894,4986,4996,0.9689,5758,8874,9070,6345,0.5363,,,,,,,,
4862,4756,4844,4895,0.9833,5894,9099,9271,6468,0.5611,,,,,,,,
4747,4638,4740,4763,0.9817,6083,9373,9570,6619,0.4874,,,,,,,,
4591,4490,4609,4635,0.973,6205,9630,9948,6845,0.4411,,,,,,,,
4477,4365,4514,4491,0.9657,6431,9894,10085,7048,0.31,,,,,,,,
4358,4280,4407,4439,1,6542,10202,10489,7183,0.4528,,,,,,,,
4332,4160,4317,4327,0.9606,6721,10504,10748,7426,0.4542,,,,,,,,
4196,4059,4241,4216,0.9896,6947,10785,11038,7685,0.3919,,,,,,,,
4166,4016,4094,4087,0.9696,7067,11145,11412,7846,0.5287,,,,,,,,
4015,3905,4035,3970,0.9706,7342,11461,11718,8080,0.3245,,,,,,,,
3971,3816,3936,3899,0.9431,7508,11806,12018,8300,0.3703,,,,,,,,
3881,3708,3819,3824,0.9644,7716,12139,12378,8534,0.4018,,,,,,,,
3788,3632,3769,3732,0.9624,7929,12505,12750,8772,0.3817,,,,,,,,
3710,3593,3658,3678,0.9608,8116,12872,13141,9072,0.4231,,,,,,,,
3611,3482,3601,3588,0.9719,8417,13256,13536,9308,0.3217,,,,,,,,
3576,3388,3559,3515,0.9376,8576,13676,13922,9628,0.4095,,,,,,,,
3586,3333,3448,3456,0.9031,8870,14164,14415,9963,0.3932,,,,,,,,
3454,3316,3397,3391,0.9141,9124,14741,14865,10265,0.3401,,,,,,,,
3368,3242,3318,3320,0.9534,9336,15043,15283,10644,0.4439,,,,,,,,
3312,3119,3260,3224,0.9336,9645,15493,15782,10852,0.386,,,,,,,,
3246,3101,3204,3214,0.9189,9908,16056,16255,11168,0.3893,,,,,,,,
3190,3066,3195,3145,0.9125,10275,16596,16750,11702,0.3114,,,,,,,,
3125,2994,3099,3055,0.9221,10621,17220,17386,12091,0.2822,,,,,,,,
3115,2917,3064,3039,0.8851,10889,17717,17849,12415,0.3452,,,,,,,,
3073,2876,2998,2977,0.8932,11240,18290,18382,12728,0.3566,,,,,,,,
3006,2839,2955,2925,0.8738,11569,18864,19100,13154,0.3429,,,,,,,,
2969,2779,2837,2835,0.8815,11943,19406,19641,13662,0.3603,,,,,,,,
2931,2736,2851,2799,0.8703,12317,20040,20283,14044,0.3675,,,,,,,,
2892,2700,2760,2758,0.8574,12670,20884,20955,14552,0.4065,,,,,,,,
2814,2626,2730,2698,0.8703,13099,21458,21647,15016,0.3773,,,,,,,,
2785,2607,2761,2716,0.8428,13685,22354,22531,15584,0.224,,,,,,,,
2791,2604,2714,2651,0.8092,14144,23235,23329,16218,0.2317,,,,,,,,
2682,2537,2627,2582,0.8631,14495,23677,23894,16593,0.3346,,,,,,,,
2679,2469,2601,2547,0.8314,14951,24588,24811,17101,0.3708,,,,,,,,
2638,2455,2560,2514,0.8287,15373,25261,25664,17667,0.447,,,,,,,,
2628,2418,2511,2480,0.795,15896,26261,26461,18364,0.4519,,,,,,,,
2599,2331,2490,2448,0.778,16499,27271,27345,19005,0.4085,,,,,,,,
2513,2350,2438,2407,0.8193,16999,28069,28306,19564,0.4738,,,,,,,,
2496,2318,2449,2370,0.821,17628,29150,29382,20386,0.4758,,,,,,,,
2481,2339,2382,2349,0.7748,18278,30453,30388,21167,0.4467,,,,,,,,
2444,2293,2369,2308,0.7661,18844,31485,31425,21914,0.5179,,,,,,,,
2417,2232,2349,2290,0.7721,19474,32495,32480,22652,0.5806,,,,,,,,
2357,2215,2311,2264,0.7672,20188,33705,33619,23449,0.5694,,,,,,,,
2366,2222,2279,2290,0.7355,20967,34994,35041,24351,0.5677,,,,,,,,
2329,2171,2260,2224,0.7402,21576,36147,36032,25173,0.303,,,,,,,,
2300,2148,2217,2167,0.7355,22365,37427,37396,25979,0.3304,,,,,,,,
2258,2117,2176,2155,0.7456,23048,38733,38812,27045,0.4555,,,,,,,,
2227,2062,2172,2117,0.7483,23857,40068,40092,27979,0.5245,,,,,,,,
2182,2050,2135,2095,0.7702,24798,41482,41484,28980,0.33,,,,,,,,
2180,2034,2112,2050,0.7535,25656,42877,42903,30009,0.4261,,,,,,,,
2142,2005,2113,2010,0.7583,26464,44497,44486,31196,0.5717,,,,,,,,
