690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.0045091,0.0038845,0.004091,0.0036276,0.72079,0.72297,0.72451,0.72109,1,0.1592
0.0029774,0.0033078,0.0030768,0.0027249,0.7487,0.74824,0.75054,0.74758,1,0.20125
0.0023234,0.0022221,0.0029221,0.0020607,0.77204,0.77649,0.77879,0.77655,1,0.22142
0.0020824,0.0026293,0.0022517,0.0021118,0.80248,0.80838,0.80664,0.80931,1,0.17335
0.0019275,0.0016793,0.001822,0.001635,0.83439,0.83899,0.83369,0.8421,1,0.11212
0.0014284,0.0012892,0.0015642,0.0010219,0.86578,0.86753,0.86523,0.87258,1,0.11188
0.0012563,0.0016115,0.0019939,0.00095373,0.89719,0.89634,0.89518,0.90146,1,0.056558
0.00087772,0.00015267,0.0011001,0.00074936,0.92954,0.92533,0.92939,0.93258,1,0.03893
1,0,0,0.00025546,0.96318,0.9577,0.96201,0.96849,1,0.11431
0.96067,0.00011874,0.0004641,0,1,1,1,1,1,0
0.92627,1,1,1,0.15618,0.00011441,0,0,1,0.29425
0.8907,0.95505,0.98519,0.97753,0.11672,0.00031053,0.00032472,0.00075026,1,0.26087
0.85538,0.91506,0.91306,0.91738,0.066607,0,0.00016236,0.00065023,1,0.22784
0.82036,0.88492,0.88149,0.88751,0.20555,0.00075182,0.0008605,0.00052518,1,0.25603
0.78695,0.85218,0.84942,0.85687,0.24687,0.0004086,0.00090921,0.0012254,1,0.22842
0.7552,0.82141,0.82289,0.82526,0.11658,0.0018305,0.0015099,0.0023258,1,0.23758
0.72228,0.79297,0.79257,0.79465,0.21709,0.00070279,0.001104,0.00080028,1,0.258
0.69237,0.7656,0.76179,0.76808,0.028623,0.00152,0.0021594,0.0018506,1,0.25095
0.66507,0.73598,0.73555,0.737,0.27946,0.0017488,0.002614,0.0013755,1,0.22267
0.63607,0.711,0.70816,0.71186,0,0.003612,0.003718,0.0036013,1,0.2013
0.60768,0.6831,0.68158,0.6871,0.20601,0.0034322,0.003718,0.0035763,1,0.19077
0.5825,0.65544,0.65643,0.6592,0.16154,0.0034649,0.0043187,0.0037513,1,0.18962
0.55806,0.62901,0.63422,0.63334,0.19794,0.0041023,0.0046435,0.0043015,1,0.16756
0.53314,0.60832,0.61021,0.61093,0.26278,0.004135,0.0041726,0.0053019,1,0.15729
0.51312,0.58738,0.58808,0.59023,0.18925,0.0057694,0.0055202,0.005702,1,0.21451
0.48987,0.56184,0.56457,0.56364,0.29067,0.0053608,0.0059586,0.0050518,1,0.21159
0.46919,0.53982,0.54298,0.54319,0.18456,0.0062597,0.0064294,0.0070275,1,0.20809
0.44796,0.52153,0.52496,0.52304,0.27108,0.0068808,0.0074198,0.0068524,1,0.18489
0.43115,0.50415,0.50392,0.50316,0.28588,0.0070442,0.0068515,0.0074276,1,0.21844
0.41065,0.48255,0.48666,0.48562,0.18985,0.0083681,0.0079881,0.0082779,1,0.15814
