ir690,ia,ir6902,ia2,tir690_ctr,tir690_ctr2,tir690_left,tir690_right,iir690,iia,iir6902,iia2,tii690_ctr,tii690_ctr2,tii690_left,tii690_right
2258,0.17538,,,,,,,6003,0.11686,,,,,,
2227,0.17253,,,,,,,6223,0.06027,,,,,,
2182,0.19446,,,,,,,6381,0.16109,,,,,,
2180,0.16681,,,,,,,6634,0.17985,,,,,,
2142,0.16686,,,,,,,6836,0.15094,,,,,,
2175,0.021856,,,,,,,7142,0.12641,,,,,,
2107,0.10261,,,,,,,7463,0,,,,,,
2081,0.11336,,,,,,,7631,0.20199,,,,,,
2056,0.088635,,,,,,,7958,0.15255,,,,,,
2052,0.057058,,,,,,,8314,0.2497,,,,,,
2022,0.057188,,,,,,,8563,0.21777,,,,,,
1977,0.028678,,,,,,,8885,0.20782,,,,,,
1989,0.019759,,,,,,,9222,0.22837,,,,,,
1947,0.059195,,,,,,,9620,0.25487,,,,,,
1940,0,,,,,,,10050,0.26206,,,,,,
65108,0.047806,,,,,,,10575,0.18706,,,,,,
64706,0.026642,,,,,,,10901,0.37123,,,,,,
59862,0,,,,,,,11298,0.26683,,,,,,
58095,0.16069,,,,,,,11752,0.32038,,,,,,
55892,0.18233,,,,,,,12252,0.37951,,,,,,
53976,0.11122,,,,,,,12820,0.35895,,,,,,
52187,0.16481,,,,,,,13368,0.46024,,,,,,
50362,0.062311,,,,,,,13868,0.41758,,,,,,
48566,0.24444,,,,,,,14561,0.35844,,,,,,
46774,0.045428,,,,,,,15308,0.54261,,,,,,
45253,0.15588,,,,,,,15895,0.51678,,,,,,
43621,0.13112,,,,,,,16530,0.43016,,,,,,
42116,0.15,,,,,,,17409,0.54722,,,,,,
40650,0.18423,,,,,,,18018,0.39609,,,,,,
39310,0.14376,,,,,,,18727,0.46163,,,,,,
37852,0.24597,,,,,,,19631,0.42441,,,,,,
36556,0.18661,,,,,,,20414,0.62779,,,,,,
35376,0.23373,,,,,,,21266,0.56444,,,,,,
34115,0.2412,,,,,,,22200,0.66404,,,,,,
32882,0.22576,,,,,,,23181,0.6226,,,,,,
31821,0.25573,,,,,,,24092,0.89956,,,,,,
30653,0.28316,,,,,,,25211,0.6194,,,,,,
29672,0.24504,,,,,,,26161,0.66441,,,,,,
28679,0.35096,,,,,,,27300,0.82918,,,,,,
27631,0.2924,,,,,,,28476,0.87621,,,,,,
26824,0.28645,,,,,,,29576,0.9382,,,,,,
25888,0.28832,,,,,,,30773,0.68316,,,,,,
24905,0.32981,,,,,,,32109,0.84267,,,,,,
24143,0.28583,,,,,,,33510,0.94555,,,,,,
23497,0.2481,,,,,,,34747,1,,,,,,
22487,0.35287,,,,,,,,,,,,,,
21887,0.35047,,,,,,,,,,,,,,
21190,0.38858,,,,,,,,,,,,,,
20416,0.44268,,,,,,,,,,,,,,
19831,0.39744,,,,,,,,,,,,,,
19259,0.43277,,,,,,,,,,,,,,
18628,0.40823,,,,,,,,,,,,,,
18093,0.41858,,,,,,,,,,,,,,
17901,0.39788,,,,,,,,,,,,,,
16967,0.46318,,,,,,,,,,,,,,
16435,0.44666,,,,,,,,,,,,,,
15892,0.51411,,,,,,,,,,,,,,
15478,0.51699,,,,,,,,,,,,,,
14942,0.53689,,,,,,,,,,,,,,
14566,0.56962,,,,,,,,,,,,,,
14088,0.53444,,,,,,,,,,,,,,
13723,0.57111,,,,,,,,,,,,,,
13215,0.62385,,,,,,,,,,,,,,
