intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,S10,S11,S12,S13
2636,0.5872,,,,,,,,,,,,,
2569,0.6549,,,,,,,,,,,,,
2506,0.641,,,,,,,,,,,,,
2420,0.8185,,,,,,,,,,,,,
2378,0.7833,,,,,,,,,,,,,
2355,0.8785,,,,,,,,,,,,,
2309,0.5729,,,,,,,,,,,,,
2236,0.7943,,,,,,,,,,,,,
2225,0.5999,,,,,,,,,,,,,
2196,0.648,,,,,,,,,,,,,
2115,0.7859,,,,,,,,,,,,,
2071,0.8357,,,,,,,,,,,,,
2051,0.8969,,,,,,,,,,,,,
2047,0.7187,,,,,,,,,,,,,
1972,0.8529,,,,,,,,,,,,,
1953,0.9447,,,,,,,,,,,,,
1902,1,,,,,,,,,,,,,
