O2Hb,HHB,THb,HB_diff,TSI
1.3640621,-0.1213339,1.2426282,1.485396,94.8544235
1.5209403,-0.1168586,1.4039817,1.6377989,94.7827911
1.6700327,-0.1011568,1.568776,1.7711896,94.6922379
1.6530845,-0.1122082,1.5407763,1.7652928,94.7063751
1.6114023,-0.1230846,1.4882176,1.7344869,94.7733841
1.5612459,-0.1394868,1.4216591,1.7007327,94.8336563
1.5026153,-0.1614147,1.3411007,1.6640301,94.8123474
1.4361991,-0.172116,1.2639831,1.6083151,94.8180466
1.3690945,-0.1995696,1.1694249,1.5686641,94.8871918
1.5012387,-0.1949192,1.3062195,1.6961579,94.7601242
1.6913249,-0.1850933,1.5061318,1.8764182,94.6154633
1.6913249,-0.1850933,1.5061318,1.8764182,94.6000671
1.6333828,-0.1902689,1.443014,1.8236517,94.6382294
1.5994864,-0.2123718,1.3870145,1.8118582,94.7298126
1.5323818,-0.2398254,1.2924563,1.7722071,94.7967987
1.4659654,-0.2505267,1.2153387,1.7164922,94.7898865
1.4073349,-0.2724546,1.1347803,1.6797895,94.7374725
1.5394791,-0.2678042,1.2715749,1.8072834,94.5528793
1.7048315,-0.2578032,1.4469283,1.9626347,94.4905624
1.6800975,-0.2576281,1.4223694,1.9377255,94.6225586
1.6384152,-0.2685045,1.3698107,1.9069197,94.6146622
1.6045187,-0.2906075,1.3138112,1.8951262,94.6225586
1.5381024,-0.3013088,1.2366936,1.8394113,94.6218872
1.4964201,-0.3121852,1.184135,1.8086054,94.6521759
1.4625237,-0.3342882,1.1281356,1.7968118,94.6594925
1.6363502,-0.3187614,1.3174888,1.9551115,94.4961548
1.7190263,-0.3137609,1.4051654,2.0327871,94.4721451
1.6773441,-0.3246373,1.3526068,2.0019813,94.5739899
1.6681815,-0.3469153,1.3211663,2.0150969,94.5500641
1.6180252,-0.3633174,1.2546078,1.9813426,94.6058044
1.5516089,-0.3740188,1.1774901,1.9256276,94.5667267
1.4929783,-0.3959466,1.0969318,1.8889251,94.6373444
1.5756545,-0.3909461,1.1846085,1.9666007,94.5196457
1.7247469,-0.3752443,1.3494028,2.0999913,94.5196457
1.7240586,-0.3919965,1.3319621,2.1160553,94.5829239
1.6745906,-0.3916464,1.2828442,2.066237,94.5674591
1.63222,-0.4192751,1.212845,2.0514951,94.6594925
1.5658038,-0.4299764,1.1357273,1.9957801,94.7142334
1.5071732,-0.4519043,1.055169,1.9590775,94.6986618
1.4732767,-0.4740072,0.9991695,1.947284,94.6986618
1.6880971,-0.4643563,1.2236408,2.1524534,94.5204926
1.7545134,-0.453655,1.3007584,2.2081683,94.5124435
1.6880971,-0.4643563,1.2236408,2.1524534,94.6448212
1.6704605,-0.4921601,1.1782004,2.1626205,94.6528625
1.6125183,-0.4973357,1.1150826,2.109854,94.6448212
1.5538878,-0.5192636,1.0345243,2.0731514,94.6914368
1.4874716,-0.5299649,0.9574067,2.0174365,94.7142334
1.5857192,-0.5474175,1.0382018,2.1331367,94.5829239
1.7517599,-0.5206642,1.2309958,2.272424,94.5739899
1.7595457,-0.5318907,1.227555,2.2914364,94.5829239
1.7009152,-0.5538186,1.1469966,2.2547338,94.6528625
1.659233,-0.5646949,1.094438,2.223928,94.7142334
1.6090765,-0.5810971,1.0278795,2.1901736,94.6373444
1.5511345,-0.5862727,0.9647617,2.1374071,94.6439743
1.5087638,-0.6139014,0.8947624,2.1226652,94.7142334
1.6988502,-0.6040754,1.0946747,2.3029256,94.6058044
1.7815263,-0.5990749,1.1823514,2.3806012,94.6058044
1.7398441,-0.6099513,1.1297927,2.3497953,94.5984497
1.7144216,-0.6265285,1.0877931,2.3409503,94.6750717
1.6564795,-0.6317041,1.0246754,2.2881837,94.6604004
1.6063231,-0.6481062,0.9581169,2.2544293,94.6750717
1.5646409,-0.6589826,0.9055582,2.2236235,94.6595535
1.6720511,-0.6541572,1.0177939,2.3262084,94.5500641
1.8133577,-0.6272288,1.186029,2.4405866,94.5115585
1.8048836,-0.6327545,1.172029,2.437638,94.5351105
1.7794613,-0.6493317,1.1300294,2.428793,94.6051025
1.737779,-0.6602082,1.0774708,2.3979871,94.6335831
1.6876225,-0.6766103,1.0109123,2.3642328,94.6594925
1.6289921,-0.6985381,0.9303539,2.3275301,94.736496
1.6777718,-0.7156406,0.9620312,2.3934124,94.6684418
1.8522866,-0.6833615,1.168825,2.5356481,94.5895157
1.8770206,-0.6835366,1.1933839,2.5605571,94.6760406
1.843124,-0.7056395,1.1373845,2.5487635,94.6760406
1.8099159,-0.7109902,1.0988257,2.5209062,94.6677551
1.7675453,-0.7386189,1.0288265,2.5061643,94.6760406
1.717389,-0.755021,0.9622679,2.47241,94.7448654
1.6919665,-0.7715982,0.9202684,2.4635649,94.7448654
1.8827413,-0.74502,1.1376213,2.6277614,94.5171814
1.9654174,-0.7400195,1.2252979,2.7054369,94.5351105
1.9230468,-0.7676482,1.1552987,2.690695,94.619133
1.8983128,-0.7674731,1.1307397,2.6657858,94.6908951
1.8481565,-0.7838752,1.0641812,2.6320317,94.7448654
1.8057858,-0.8115039,0.9941819,2.6172898,94.752182
1.7315838,-0.8109787,0.9205051,2.5425625,94.7291794
1.8220457,-0.8172047,1.004741,2.6392505,94.6131897
1.9958721,-0.8016779,1.1940942,2.7975502,94.5351105
1.9958721,-0.8016779,1.1940942,2.7975502,94.6131897
1.9619757,-0.8237809,1.1380948,2.7857566,94.5984497
1.9125077,-0.8234307,1.0889769,2.7359383,94.6751938
1.8538772,-0.8453586,1.0084186,2.6992357,94.7448654
1.8115065,-0.8729873,0.9384192,2.6844938,94.752182
1.7450902,-0.8836886,0.8613016,2.6287789,94.7448654
1.7444019,-0.9004409,0.843861,2.6448429,94.6901474
1.9676964,-0.8852643,1.0823321,2.8529606,94.6288376
2.0256386,-0.8800887,1.1454499,2.9057271,94.6131897
1.9754821,-0.8964908,1.0788913,2.871973,94.6140289
1.942274,-0.9018415,1.0403326,2.8441155,94.6990967
1.8758577,-0.9125428,0.9632149,2.7884007,94.6962738
1.8334872,-0.9401715,0.8932156,2.7736585,94.6833954
1.7670709,-0.9508728,0.816098,2.7179437,94.7606201
1.7911165,-0.9678002,0.8232163,2.7589166,94.6499176
1.9818912,-0.941222,1.0405693,2.9231131,94.5810165
2.0228851,-0.9470978,1.0756873,2.9699829,94.5810165
1.9727287,-0.9635,1.0091288,2.9362288,94.6594467
1.9635663,-0.985778,0.9776883,2.9493442,94.6746826
1.9134098,-1.0021801,0.9111298,2.91559,94.6813965
1.8717276,-1.0130565,0.8585711,2.8847842,94.6809311
1.8300453,-1.0239329,0.8060125,2.8539782,94.7589874
1.9869236,-1.0194576,0.9673659,3.0063813,94.611969
2.1028078,-1.0091064,1.0936015,3.1119144,94.5410995
2.0611255,-1.0199828,1.0410428,3.0811083,94.6746826
2.0279174,-1.0253335,1.002484,3.053251,94.6809311
2.0024951,-1.0419108,0.9604844,3.0444057,94.6025009
