O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
-2.0689662,-0.2890962,73.2672729,99.9703064,1.0938436,0.2885879,73.6180573,99.7309265
0.1033606,0.0623549,73.2706757,99.961937,0.8441176,0.2616806,73.6613464,99.7317886
0.7040178,0.1462832,73.2228088,99.9585724,0.3080088,0.1548265,73.6321945,99.7392426
0.0021554,0.0322413,73.1859283,99.9618988,-0.3443466,0.0397158,73.6407089,99.7476196
-0.3982827,-0.0237109,73.2366409,99.9628448,-0.7792501,-0.0370247,73.6898422,99.7578735
-0.9171588,-0.1201709,73.1544037,99.9656296,-1.2313865,-0.1241593,73.6549301,99.7651596
-1.5178159,-0.2040992,73.1681595,99.9676971,-1.6662902,-0.2008998,73.7041626,99.7736282
-1.9182541,-0.2600514,73.1736679,99.9693909,0.1099811,0.1591016,73.8970032,99.7627182
-2.3359249,-0.3263977,73.1819611,99.9707947,1.4814316,0.3986484,73.7249374,99.7417908
-1.3649126,-0.1428031,73.3353882,99.9674606,1.1800073,0.3405586,73.6556778,99.7281265
0.6545108,0.147352,73.2172852,99.9585953,0.9453228,0.2917942,73.6989059,99.7305374
0.686785,0.1358891,73.0819016,99.9581985,0.4114053,0.2171913,73.7131805,99.7388458
-0.0473516,0.0333101,73.1804276,99.9612579,-0.2259087,0.0802236,73.7246399,99.7475281
-0.4477897,-0.0226421,73.2338715,99.9632034,-0.678045,-0.006911,73.6812668,99.7570419
-1.0656797,-0.1169646,73.2024689,99.9656448,-1.1279901,-0.0617945,73.7824249,99.7665634
-1.6340626,-0.2123558,73.2107697,99.9677353,-1.614592,-0.1697173,73.7476578,99.773735
