ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
1.21E+03,0.68359,10703,0.062602,0,0.59906,2.21E+03,9.41E+03,2038,15974,2097,16882,,4403,15907,4899,13924,,,,,,,0,0.61325
1.19E+03,0.64409,11108,0.0602,0,0.61325,2.16E+03,9.76E+03,1987,16508,2005,17389,,4335,16387,4706,14246,,,,,,,0,0.61325
1.11E+03,0.76178,11628,0,0,0.61325,2.13E+03,1.02E+04,1941,17279,1996,18141,,4322,17100,4552,14646,,,,,,,0,0.61325
1.09E+03,0.72948,11961,0.061802,0,0.61325,2.00E+03,1.05E+04,1868,17804,1851,18655,,4226,17362,4535,15130,,,,,,,0,0.61325
1.09E+03,0.64235,12432,0.05344,0,0.61325,1.98E+03,1.08E+04,1849,18550,1863,19295,,4184,17937,4500,15473,,,,,,,0,0.61325
1.03E+03,0.72589,12927,0.043455,0,0.61325,1.93E+03,1.12E+04,1775,19143,1774,19969,,4145,18375,4385,16014,,,,,,,0,0.61325
1.03E+03,0.64332,13326,0.097828,0,0.61325,1.87E+03,1.16E+04,1712,19846,1757,20674,,4024,19086,4295,16550,,,,,,,0,0.61325
1.02E+03,0.58302,14025,0.0025616,0,0.61325,1.86E+03,1.21E+04,1661,20717,1799,21569,,3957,19553,4191,16936,,,,,,,0,0.61325
9.64E+02,0.6767,14526,0.026116,0.71541,0.61325,1.78E+03,1.26E+04,1620,21491,1736,22351,,3901,20140,4172,17546,,,,,,,0,0.61325
9.36E+02,0.68119,606,0.96916,#N/A,0.61325,1.72E+03,1.29E+04,1571,22180,1652,22919,,3799,20813,4129,17961,,,,,,,0,0.61325
9.45E+02,0.57155,641,0.88049,#N/A,0.61325,1.71E+03,1.34E+04,1547,22926,1618,23828,,3789,21597,4095,18643,,,,,,,0,0.61325
8.91E+02,0.66228,647,0.93427,#N/A,0.61325,1.65E+03,1.39E+04,1509,23778,1577,24681,,3680,22150,3938,19166,,,,,,,0,0.61325
9.40E+02,0.42974,719,0.69529,#N/A,0.61325,1.60E+03,1.44E+04,1449,24718,1531,25481,,3716,22743,3874,19750,,,,,,,0,0.61325
8.95E+02,0.49143,700,0.8584,#N/A,0.61325,1.58E+03,1.50E+04,1361,25655,1515,26370,,3564,23588,3860,20523,,,,,,,0,0.61325
8.35E+02,0.61064,743,0.75793,#N/A,0.61325,1.54E+03,1.56E+04,1359,26488,1465,27333,,3557,24370,3897,21113,,,,,,,0,0.61325
8.28E+02,0.55705,738,0.86244,#N/A,0.61325,1.49E+03,1.61E+04,1360,27466,1452,28385,,3566,25198,3658,21872,,,,,,,0,0.61325
8.40E+02,0.44157,750,0.89727,#N/A,0.61325,1.47E+03,1.67E+04,1335,28682,1408,29414,,3568,25985,3643,22571,,,,,,,0,0.61325
4.07E+04,0.10942,817,0.71406,#N/A,0.61325,1.49E+03,1.74E+04,1318,29782,1403,30459,,3458,26892,3653,23323,,,,,,,0,0.61325
3.89E+04,0.11591,842,0.70423,#N/A,0.61325,1.40E+03,1.80E+04,1268,30840,1367,31498,,3427,27723,3510,24172,,,,,,,0,0.61325
3.73E+04,0.093449,839,0.80128,#N/A,0.61325,1.35E+03,1.87E+04,1224,32025,1358,32666,,3381,28544,3505,25062,,,,,,,0,0.61325
3.58E+04,0.087556,811,1,#N/A,0.61325,1.32E+03,1.94E+04,1161,33220,1313,34075,,3344,29405,3472,25987,,,,,,,0,0.61325
3.45E+04,0.012598,897,0.76219,#N/A,0.61325,1.35E+03,2.01E+04,1164,34451,1292,35064,,3265,30466,3430,26812,,,,,,,0.05541,0.61325
3.30E+04,0.043104,910,0.80438,#N/A,0.61325,1.28E+03,2.09E+04,1147,35804,1249,36428,,3391,31334,3424,27727,,,,,,,0.05541,0.61325
3.15E+04,0.055523,952,0.74697,#N/A,0.61325,1.22E+03,2.17E+04,1110,37037,1208,37844,,3252,32290,3296,28681,,,,,,,0.05541,0.61325
3.04E+04,0.019026,1007,0.65346,#N/A,0.61325,1.21E+03,2.24E+04,1061,38445,1201,39121,,3307,33463,3254,29652,,,,,,,0.05541,0.61325
2.92E+04,0,1048,0.61258,#N/A,0.61325,1.23E+03,2.33E+04,1071,39909,1159,40508,,3100,34326,3239,30689,,,,,,,0.05541,0.61325
2.79E+04,0.021088,1047,0.70576,#N/A,0.61325,1.17E+03,2.42E+04,1043,41445,1123,41914,,3131,35302,3218,31741,,,,,,,0.18045,0.61325
2.68E+04,0.023282,1127,0.55375,#N/A,0.61325,1.15E+03,2.50E+04,991,43068,1129,43502,,3196,36576,3198,32823,,,,,,,0.18045,0.61325
2.55E+04,0.084368,1159,0.55169,#N/A,0.61325,1.11E+03,2.60E+04,975,44446,1126,45070,,3127,37363,3146,33887,,,,,,,0.18045,0.61325
2.45E+04,0.072276,1158,0.64625,#N/A,0.61325,1.10E+03,2.70E+04,927,46212,1067,46655,,3043,38375,3021,34951,,,,,,,0.18045,0.61325
2.35E+04,0.078942,1177,0.68508,#N/A,0.61325,1.08E+03,2.80E+04,935,47977,1058,48375,,3083,39514,3114,36067,,,,,,,0.037913,0.61325
2.26E+04,0.080454,1226,0.64104,#N/A,0.61325,1.07E+03,2.91E+04,994,49750,1019,50071,,2959,40314,3011,37151,,,,,,,0.037913,0.61325
2.18E+04,0.060716,1262,0.63738,#N/A,0.61325,1.04E+03,3.03E+04,916,51730,994,51718,,2952,41353,3042,38261,,,,,,,0.037913,0.61325
2.06E+04,0.16708,1335,0.54018,#N/A,0.61325,9.99E+02,3.14E+04,898,53358,979,53638,,2998,42290,2947,39270,,,,,,,0.037913,0.61325
1.97E+04,0.20147,1380,0.52183,#N/A,0.61325,1.01E+03,3.24E+04,899,55195,1004,55462,,2940,43111,2937,40168,,,,,,,0.037913,0.61325
1.91E+04,0.15736,1417,0.52668,#N/A,0.61325,9.72E+02,3.36E+04,841,56889,952,57545,,2805,43981,2902,41229,,,,,,,0.037913,0.61325
1.83E+04,0.17598,1415,0.62976,#N/A,0.61325,9.61E+02,3.49E+04,850,58792,888,59531,,2861,44789,2934,42345,,,,,,,0.037913,0.61325
1.75E+04,0.2288,1509,0.5024,#N/A,0.61325,8.92E+02,3.59E+04,765,60692,915,61844,,2812,46199,2819,44023,,,,,,,0.037913,0.61325
1.67E+04,0.25949,1649,0.2908,,,,,,,,,,,,,,,,,,,,,
1.61E+04,0.27086,1651,0.38322,,,,,,,,,,,,,,,,,,,,,
1.52E+04,0.36353,1685,0.41013,,,,,,,,,,,,,,,,,,,,,
1.48E+04,0.32419,1727,0.4227,,,,,,,,,,,,,,,,,,,,,
1.41E+04,0.38014,1791,0.39334,,,,,,,,,,,,,,,,,,,,,
1.35E+04,0.38882,1884,0.31266,,,,,,,,,,,,,,,,,,,,,
1.30E+04,0.4122,1935,0.318,,,,,,,,,,,,,,,,,,,,,
1.27E+04,0.33846,1988,0.32263,,,,,,,,,,,,,,,,,,,,,
1.18E+04,0.53338,2043,0.32671,,,,,,,,,,,,,,,,,,,,,
1.13E+04,0.5691,2206,0.14925,,,,,,,,,,,,,,,,,,,,,
1.09E+04,0.58736,2178,0.30092,,,,,,,,,,,,,,,,,,,,,
1.05E+04,0.58369,2252,0.28295,,,,,,,,,,,,,,,,,,,,,
9.96E+03,0.66892,2345,0.23844,,,,,,,,,,,,,,,,,,,,,
9.62E+03,0.65596,2406,0.24993,,,,,,,,,,,,,,,,,,,,,
9.19E+03,0.70513,2491,0.22733,,,,,,,,,,,,,,,,,,,,,
8.81E+03,0.74097,2540,0.26373,,,,,,,,,,,,,,,,,,,,,
8492,0.73968,2612,0.26809,,,,,,,,,,,,,,,,,,,,,
8156,0.76261,2722,0.22054,,,,,,,,,,,,,,,,,,,,,
7870,0.75962,2841,0.1668,,,,,,,,,,,,,,,,,,,,,
7588,0.76208,2918,0.17646,,,,,,,,,,,,,,,,,,,,,
7172,0.87593,3005,0.17617,,,,,,,,,,,,,,,,,,,,,
6950,0.85108,3123,0.13941,,,,,,,,,,,,,,,,,,,,,
