O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
21.2833805,12.7290773,71.0733871,99.8554688,24.0880432,12.6577635,71.8271255,99.539093
21.1918869,12.7202864,71.1072159,99.8578033,23.8458385,12.6199274,71.8965454,99.5502243
22.3103237,12.8845491,71.1178741,99.8382568,23.5950165,12.5768948,71.8367538,99.5588684
22.9443512,12.9731407,71.0111923,99.8221893,23.402319,12.5379906,71.8399734,99.5700455
22.6354065,12.9259796,71.049118,99.8255081,24.1311245,12.6837492,71.9991379,99.5596085
22.3264618,12.8788176,71.0533829,99.8355408,24.7328777,12.783803,71.901207,99.5483627
22.0595036,12.8415165,71.0590897,99.8395615,24.6327686,12.7698145,71.8191223,99.5315857
21.733326,12.7839613,71.0647964,99.8465118,24.5326595,12.755827,71.8529739,99.5259171
21.4663658,12.7466593,71.10289,99.8513489,24.3152065,12.7174568,71.8594131,99.5321045
21.2575302,12.7134867,71.1086578,99.8551865,23.9976463,12.6650982,71.8674774,99.5377197
21.0659275,12.6907072,71.1115494,99.8596344,23.787714,12.6157999,71.802803,99.5485382
22.0175171,12.8316565,71.1250916,99.8400574,23.5702629,12.5774288,71.8076019,99.5611725
22.8356247,12.9539557,71.047699,99.8233566,23.2946873,12.5349312,71.8156128,99.5684891
22.6515446,12.920248,71.0505371,99.8257675,23.4540157,12.5691729,71.8674774,99.5701141
22.3092289,12.8684235,71.0885162,99.8352432,24.474535,12.7516985,71.9365768,99.5558243
22.0508862,12.8363199,71.1265335,99.8396683,24.7920971,12.8040571,71.7852707,99.5353088
21.733326,12.7839613,71.1000061,99.8467789,24.6166306,12.7755461,71.7948227,99.5186234
21.4825039,12.7409286,71.1057739,99.8518524,24.507906,12.756361,71.7964172,99.5200043
21.2575302,12.7134867,71.1100998,99.8542709,24.2226181,12.6925402,71.7396317,99.5273285
21.0400791,12.6751165,71.0791245,99.8581009,23.9222889,12.6505756,71.7443771,99.536438
21.8248177,12.7927523,71.1279831,99.8476791,23.7048378,12.6122055,71.747551,99.5490723
22.7021465,12.9353046,71.1193161,99.826149,23.4615364,12.5582438,71.7198257,99.5576401
22.6095581,12.910388,71.0548096,99.8258896,23.1945782,12.5209427,71.7602539,99.5701904
22.2424889,12.8590984,71.1250916,99.8345413,23.9320011,12.6718988,71.8852081,99.559021
22.0250378,12.8207283,71.0956955,99.8395157,24.8340836,12.8139162,71.7852707,99.5383835
21.7160931,12.7735672,71.10289,99.8460922,24.8835907,12.8128481,71.6669769,99.5123978
21.465271,12.7305346,71.0381165,99.8505707,24.691988,12.7900686,71.7364655,99.504158
21.2650509,12.7025576,71.0776901,99.8538818,24.474535,12.7516985,71.7087936,99.5111389
21.0734482,12.6797791,71.1144333,99.8578262,24.1236038,12.6946774,71.7491302,99.5230637
21.8668041,12.8026123,71.1265335,99.8438873,23.8716869,12.635519,71.6873245,99.5325012
22.6095581,12.910388,71.1222,99.8272781,23.6294823,12.597683,71.6920395,99.5465546
22.3845844,12.882946,71.1250916,99.8296051,23.3528118,12.5390587,71.6983337,99.5575562
22.1003933,12.8352509,71.1279831,99.8381195,23.1353588,12.5006886,71.6688919,99.5670547
21.8581886,12.7974148,71.1323242,99.8418503,24.0902348,12.6900148,71.8271255,99.5550461
21.5492439,12.7502537,71.1381226,99.8493195,24.7845764,12.8149853,71.6977921,99.5316544
