intensity,750,800,850,ua,left,right,ctr
1228,1341,1265,1180,0.7708,,,
1155,1327,1246,1178,1,,,
1180,1263,1256,1149,0.8694,,,
1169,1286,1224,1174,0.9189,,,
1191,1226,1220,1145,0.8016,,,
1180,1240,1177,1143,0.8191,,,
64086,63851,63704,63819,0.1865,p12-pre-s5,,
64130,61700,59967,62000,0,,,
59893,57782,56793,57479,0.0625,,,
56622,55488,54418,55119,0.0884,,,
53934,53120,52108,52592,0.0853,,,
51671,50829,49918,50119,0.0674,,,
49356,48751,47670,47990,0.0606,,,
47372,46668,45512,45618,0.0388,,,
45146,44453,43448,43413,0.0437,,,
43186,42552,41389,41413,0.0385,,,
41457,40872,39497,39578,0.0247,,,
39360,38920,37806,37538,0.0425,,,
37696,37146,36126,35790,0.0372,,,
36027,35465,34435,34105,0.0393,,,
34577,34044,32841,32559,0.0308,,,
32908,32484,31345,30912,0.0475,,,
31477,31029,29947,29397,0.0498,,,
30150,29772,28564,28236,0.0519,,,
28783,28552,27232,26833,0.0605,,,
27540,27201,26091,25588,0.066,,,
26419,26207,24967,24516,0.0634,,,
25157,25001,23848,23223,0.0826,,,
24137,23932,22744,22165,0.0819,,,
23003,22892,21717,21141,0.1038,,,
22150,21844,20882,20131,0.0943,,,
21260,21049,19914,19291,0.0985,,,
20352,20136,18957,18381,0.1074,,,
19504,19280,18285,17538,0.112,,,
18771,18648,17473,16982,0.1083,,,
18147,17893,16728,16148,0.0973,,,
17232,17053,16056,15337,0.128,,,
16639,16473,15357,14704,0.1227,,,
15991,15683,14772,14135,0.1236,,,
15385,15099,14176,13459,0.1312,,,
14916,14744,13760,13171,0.1148,,,
14282,14131,13160,12468,0.1275,,,
13782,13604,12666,12012,0.1204,,,
13352,13321,12153,11630,0.121,,,
13199,12877,11789,11373,0.0674,,,
12341,12179,11272,10650,0.1243,,,
12014,11785,10932,10234,0.1101,,,
11569,11351,10521,9852,0.1191,,,
11163,10942,10226,9478,0.1186,,,
10806,10577,9791,9052,0.1098,,,
10454,10268,9525,8806,0.1138,,,
10133,9851,9150,8459,0.1051,,,
9742,9583,8814,8201,0.1149,,,
9404,9193,8466,7784,0.124,,,
9206,8944,8187,7574,0.0963,,,
8865,8627,7981,7335,0.108,,,
8504,8244,7630,7015,0.1269,,,
8237,8077,7346,6829,0.1258,,,
7994,7766,7126,6574,0.121,,,
7684,7515,6909,6272,0.14,,,
7439,7217,6643,6076,0.1396,,,
7169,7010,6396,5827,0.1553,,,
6935,6782,6196,5615,0.1536,,,
6691,6510,5977,5445,0.1554,,,
6421,6301,5774,5232,0.1794,,,
6219,6034,5562,5043,0.1849,,,
5984,5836,5306,4878,0.1951,,,
5728,5674,5157,4675,0.2212,,,
5557,5531,4989,4560,0.2187,,,
5378,5256,4800,4365,0.2296,,,
5132,5079,4681,4189,0.2605,,,
4974,4913,4495,4024,0.2654,,,
4805,4734,4344,3895,0.269,,,
4653,4566,4185,3762,0.2759,,,
4505,4414,4073,3679,0.3067,,,
4327,4276,3920,3518,0.3085,,,
4199,4109,3807,3406,0.3249,,,
3995,3928,3616,3297,0.3445,,,
3857,3847,3555,3144,0.3717,,,
3765,3728,3396,3056,0.3747,,,
3624,3570,3315,2955,0.3858,,,
3522,3498,3210,2880,0.3906,,,
3427,3308,3072,2782,0.4024,,,
3313,3245,2998,2706,0.4067,,,
3197,3152,2915,2631,0.4295,,,
3115,3033,2808,2545,0.4253,,,
3018,2946,2733,2470,0.4469,,,
2932,2889,2651,2376,0.4582,,,
2839,2829,2598,2337,0.4659,,,
2729,2752,2503,2286,0.495,,,
2676,2711,2458,2245,0.4816,,,
2614,2594,2360,2147,0.4985,,,
2549,2541,2363,2087,0.4682,,,
2484,2482,2277,2048,0.5158,,,
2441,2441,2202,2051,0.5191,,,
2343,2356,2166,1967,0.5601,,,
2305,2329,2118,1908,0.5384,,,
2259,2272,2048,1934,0.5124,,,
2200,2220,2068,1878,0.5661,,,
2152,2177,2021,1820,0.5634,,,
2129,2120,1974,1728,0.5351,,,
2035,2074,1885,1737,0.5854,,,
2037,2011,1893,1677,0.5694,,,
1992,2026,1837,1706,0.5307,,,
1940,1953,1835,1656,0.5434,,,
1877,1929,1794,1603,0.6174,,,
1844,1867,1737,1577,0.61,,,
1804,1809,1715,1568,0.5836,,,
1786,1823,1673,1505,0.6286,,,
1696,1768,1675,1502,0.6901,,,
1713,1743,1644,1475,0.633,,,
1654,1706,1564,1446,0.6999,,,
1661,1683,1572,1437,0.6422,,,
1607,1644,1526,1463,0.6777,,,
1623,1651,1531,1425,0.6362,,,
1569,1591,1484,1389,0.6794,,,
1552,1578,1511,1331,0.6601,,,
1496,1532,1430,1342,0.7692,,,
1532,1532,1455,1311,0.6497,,,
1448,1487,1426,1311,0.7459,,,
1460,1501,1425,1315,0.7125,,,
1420,1525,1419,1313,0.7929,,,
1374,1441,1370,1292,0.7958,,,
1385,1413,1356,1234,0.805,,,
1356,1392,1350,1269,0.8286,,,
1337,1380,1355,1263,0.7916,,,
1305,1387,1336,1211,0.9907,,,
1322,1396,1332,1242,0.8687,,,
1307,1376,1266,1225,0.7778,,,
1267,1340,1268,1222,0.9826,,,
1255,1319,1292,1189,1,,,
1274,1307,1254,1190,0.785,,,
1253,1321,1271,1176,0.8368,,,
1219,1312,1244,1149,0.9242,,,
61537,59315,58726,56299,0.4012,p12-pre-s6,,
58699,57281,56392,54291,0.3809,,,
56362,55288,54317,52225,0.3435,,,
54630,53510,52157,50376,0.27,,,
52412,51420,50144,48217,0.2412,,,
50357,49438,48138,46227,0.209,,,
48557,47697,46341,44214,0.1721,,,
46711,45903,44460,42435,0.1415,,,
44740,43855,42815,40361,0.1301,,,
43031,42346,40937,38801,0.1054,,,
41500,40769,39232,37167,0.0773,,,
39751,38963,37601,35392,0.0733,,,
38277,37412,36017,33846,0.0494,,,
36700,35887,34577,32380,0.045,,,
35229,34515,33236,31120,0.036,,,
34004,33022,31769,29625,0.0169,,,
32520,31793,30419,28352,0.0188,,,
31263,30630,29201,27230,0.0119,,,
